DEBUG    WebDriverFactory:webdriverfactory.py:26 Browser directoryC:\Users\rgarg\Desktop\JenkinsJob\base\../Drivers
INFO     WebDriverFactory:webdriverfactory.py:82 Opening Chrome
INFO     WebDriverFactory:webdriverfactory.py:88 Maximizing browser window
INFO     WebDriverFactory:webdriverfactory.py:91 Opened Url http://devmh-admin.bhitest.com/
INFO     SeleniumDriver:selenium_driver.py:259 Waiting for maximum :: 10 :: seconds for element to appear
INFO     SeleniumDriver:selenium_driver.py:267 Element with locator: (//button[text()='USA'])[3] and locator type: xpath appeared on the web page
INFO     SeleniumDriver:selenium_driver.py:119 Clicked on element with locator: (//button[text()='USA'])[3] locatorType: xpath
INFO     <module>:conftest.py:24 Clicked USA as country
INFO     HeaderPage:selenium_driver.py:259 Waiting for maximum :: 10 :: seconds for element to appear
INFO     HeaderPage:selenium_driver.py:267 Element with locator: (//button/p[text()='Find Your Dream Home'])[1] and locator type: xpath appeared on the web page
INFO     HeaderPage:selenium_driver.py:119 Clicked on element with locator: (//button/p[text()='Find Your Dream Home'])[1] locatorType: xpath
INFO     HeaderPage:selenium_driver.py:259 Waiting for maximum :: 10 :: seconds for element to appear
INFO     HeaderPage:selenium_driver.py:267 Element with locator: (//h3[starts-with(@class,'uppercase')])[1] and locator type: xpath appeared on the web page
INFO     HeaderPage:selenium_driver.py:225 Element is displayed with locator: (//h3[starts-with(@class,'uppercase')])[1] locatorType: xpath
INFO     HeaderPage:selenium_driver.py:259 Waiting for maximum :: 10 :: seconds for element to appear
INFO     HeaderPage:selenium_driver.py:267 Element with locator: (//button/p[text()='Find Your Dream Home'])[1] and locator type: xpath appeared on the web page
INFO     HeaderPage:selenium_driver.py:119 Clicked on element with locator: (//button/p[text()='Find Your Dream Home'])[1] locatorType: xpath
INFO     CaseStatus:casestatus.py:34  ### Verification Pass :: Verify that element exist under 'Find Your Dream Home' dropdown executed
INFO     CaseStatus:casestatus.py:76 test_FindYourDreamHomeDropdownExist Test Passed
