DEBUG    WebDriverFactory:webdriverfactory.py:26 Browser directoryC:\Users\rgarg\PycharmProjects\MattamyHomes\base\../Drivers
INFO     WebDriverFactory:webdriverfactory.py:82 Opening Chrome
INFO     WebDriverFactory:webdriverfactory.py:88 Maximizing browser window
INFO     WebDriverFactory:webdriverfactory.py:91 Opened Url http://devmh-admin.bhitest.com/
INFO     SeleniumDriver:selenium_driver.py:259 Waiting for maximum :: 10 :: seconds for element to appear
INFO     SeleniumDriver:selenium_driver.py:267 Element with locator: (//button[text()='USA'])[3] and locator type: xpath appeared on the web page
INFO     SeleniumDriver:selenium_driver.py:119 Clicked on element with locator: (//button[text()='USA'])[3] locatorType: xpath
INFO     <module>:conftest.py:24 Clicked USA as country
INFO     ReadWriteFile:rw_file.py:103 Deleted sheet: SitemapResult
INFO     ReadWriteFile:rw_file.py:118 Created sheet SitemapResult
INFO     ReadWriteFile:rw_file.py:51 ##Successfully Traversed File##
INFO     CaseStatus:casestatus.py:34  ### Verification Pass :: Verified all Sitemap Links
INFO     CaseStatus:casestatus.py:76 test_sitemap_url Test Passed
INFO     <module>:conftest.py:30 Closing Browser
INFO     <module>:conftest.py:32 Browser Closed
