"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 12 09:15:20 IST 2020","Tue May 12 09:15:21 IST 2020","915","","test_regression_suite","FooterTests","","","test_forRealtorsLink",""
"failed","Tue May 12 09:15:31 IST 2020","Tue May 12 09:15:32 IST 2020","909","","test_regression_suite","FooterTests","","","test_privacyPolicyLink",""
"failed","Tue May 12 09:15:32 IST 2020","Tue May 12 09:15:32 IST 2020","892","","test_regression_suite","FooterTests","","","test_termsAndConditionsLink",""
"passed","Tue May 12 09:15:15 IST 2020","Tue May 12 09:15:15 IST 2020","75","","test_regression_suite","FooterTests","","","test_copyrightText",""
"passed","Tue May 12 09:15:50 IST 2020","Tue May 12 09:15:50 IST 2020","241","","test_regression_suite","HeaderTests","","","test_expressYourStyleRedirect",""
"passed","Tue May 12 09:15:16 IST 2020","Tue May 12 09:15:18 IST 2020","1645","","test_regression_suite","FooterTests","","","test_facebookSocialIcon",""
"passed","Tue May 12 09:15:29 IST 2020","Tue May 12 09:15:31 IST 2020","1259","","test_regression_suite","FooterTests","","","test_pinterestSocialIcon",""
"passed","Tue May 12 09:15:33 IST 2020","Tue May 12 09:15:34 IST 2020","1313","","test_regression_suite","FooterTests","","","test_youtubeSocialIcon",""
"failed","Tue May 12 09:15:21 IST 2020","Tue May 12 09:15:22 IST 2020","976","","test_regression_suite","FooterTests","","","test_homeownersLink",""
"passed","Tue May 12 09:15:49 IST 2020","Tue May 12 09:15:49 IST 2020","332","","test_regression_suite","HeaderTests","","","test_countryToggleClick",""
"failed","Tue May 12 09:15:22 IST 2020","Tue May 12 09:15:24 IST 2020","1835","","test_regression_suite","FooterTests","","","test_instagramSocialIcon",""
"failed","Tue May 12 09:15:24 IST 2020","Tue May 12 09:15:25 IST 2020","881","","test_regression_suite","FooterTests","","","test_investorsLink",""
"passed","Tue May 12 09:15:49 IST 2020","Tue May 12 09:15:50 IST 2020","223","","test_regression_suite","HeaderTests","","","test_experienceMattamyRedirect",""
"passed","Tue May 12 09:15:50 IST 2020","Tue May 12 09:15:52 IST 2020","1921","","test_regression_suite","HeaderTests","","","test_logoRedirect",""
"failed","Tue May 12 09:15:15 IST 2020","Tue May 12 09:15:16 IST 2020","926","","test_regression_suite","FooterTests","","","test_emailSignupLink",""
"passed","Tue May 12 09:15:49 IST 2020","Tue May 12 09:15:49 IST 2020","53","","test_regression_suite","HeaderTests","","","test_FindYourDreamHomeExist",""
"passed","Tue May 12 09:15:25 IST 2020","Tue May 12 09:15:29 IST 2020","4501","","test_regression_suite","FooterTests","","","test_linkedinSocialIcon",""
"failed","Tue May 12 09:15:13 IST 2020","Tue May 12 09:15:14 IST 2020","961","","test_regression_suite","FooterTests","","","test_careersLink",""
"passed","Tue May 12 09:15:52 IST 2020","Tue May 12 09:15:52 IST 2020","231","","test_regression_suite","HeaderTests","","","test_makeItRealRedirect",""
"failed","Tue May 12 09:15:19 IST 2020","Tue May 12 09:15:20 IST 2020","1024","","test_regression_suite","FooterTests","","","test_forMediaLink",""
"failed","Tue May 12 09:15:14 IST 2020","Tue May 12 09:15:15 IST 2020","1029","","test_regression_suite","FooterTests","","","test_contactUsLink",""
"passed","Tue May 12 09:15:48 IST 2020","Tue May 12 09:15:49 IST 2020","1395","","test_regression_suite","HeaderTests","","","test_FindYourDreamHomeDropdownExist",""
"failed","Tue May 12 09:15:18 IST 2020","Tue May 12 09:15:19 IST 2020","868","","test_regression_suite","FooterTests","","","test_faqLink",""
"failed","Tue May 12 09:15:12 IST 2020","Tue May 12 09:15:13 IST 2020","1651","","test_regression_suite","FooterTests","","","test_accessibilityLink",""
